date,state,district
2021-09-21,Sarawak,Sri Aman
2021-10-01,Sarawak,Mukah
2021-10-15,Sarawak,Samarahan
2021-10-17,Sarawak,Pakan
2021-10-31,Sarawak,Pakan
2021-11-01,Sarawak,Saratok
2021-11-16,Sarawak,Kabong
2021-11-27,Perak,Kinta
2021-12-14,Sarawak,Daro
2021-12-25,Sarawak,Lawas
2021-12-26,Sarawak,Lubok Antu
2021-12-29,Sarawak,Dalat
2021-12-31,Sarawak,Pusa
2022-01-01,Sarawak,Pusa
2022-01-01,Sarawak,Serian
2022-01-03,Sarawak,Kanowit
2022-01-20,Sarawak,Bintulu
2022-01-22,Sarawak,Kanowit
2022-02-15,Sarawak,Samarahan
2022-02-25,Sarawak,Simunjan
2022-02-26,Sarawak,Pakan
2021-09-10,Sarawak,Saratok
2021-09-10,Sarawak,Tanjung Manis
2021-09-15,Sarawak,Miri
2021-09-15,Sarawak,Sri Aman
2021-09-22,Sarawak,Kabong
2021-09-22,Sarawak,Marudi
2021-09-22,Sarawak,Tebedu
2021-09-24,Sarawak,Kuching
2021-09-25,Sarawak,Matu
2021-09-29,Sarawak,Tebedu
2021-10-07,Sarawak,Belaga
2021-10-08,Sarawak,Marudi
2021-10-19,Sarawak,Maradong
2021-10-22,Sarawak,Betong
2021-10-27,Sarawak,Dalat
2021-10-30,Sarawak,Sarikei
2021-11-08,Sarawak,Kanowit
2021-11-09,Sarawak,Lubok Antu
2021-11-14,Sarawak,Kabong
2021-11-15,Sarawak,Tanjung Manis
2021-11-16,Sarawak,Matu
2021-11-19,Sarawak,Sri Aman
2021-11-25,Sarawak,Beluru
2021-11-25,Sarawak,Selangau
2021-11-30,Sarawak,Simunjan
2021-12-04,Sarawak,Selangau
2021-12-09,Sarawak,Saratok
2021-12-11,Sarawak,Dalat
2021-12-18,Sarawak,Matu
2021-12-21,Sarawak,Lawas
2021-12-24,Sarawak,Betong
2021-12-31,Sarawak,Asajaya
2022-01-03,Sarawak,Maradong
2022-02-02,Sarawak,Kabong
2022-02-02,Sarawak,Lubok Antu
2022-02-06,Sarawak,Mukah
2022-02-09,Sarawak,Daro
2022-02-09,Sarawak,Mukah
2022-02-09,Sarawak,Simunjan
2022-02-12,Sarawak,Serian
2022-02-14,Sarawak,Maradong
2022-02-17,Sarawak,Samarahan
2022-02-18,Sarawak,Betong
2022-02-20,Sarawak,Sebauh
2022-02-21,Sarawak,Serian
2022-02-25,Sarawak,Sri Aman
2021-09-04,Sarawak,Limbang
2021-09-14,Sarawak,Pakan
2021-09-24,Sarawak,Lundu
2021-09-26,Sarawak,Matu
2021-09-29,Sarawak,Daro
2021-10-02,Sarawak,Simunjan
2021-10-09,Sarawak,Mukah
2021-10-10,Sarawak,Saratok
2021-10-12,Sarawak,Simunjan
2021-10-17,Sarawak,Betong
2021-10-18,Sarawak,Serian
2021-10-22,Sarawak,Sebauh
2021-10-27,Sarawak,Saratok
2021-10-31,Sarawak,Matu
2021-11-02,Sarawak,Kapit
2021-11-02,Sarawak,Marudi
2021-11-06,Sarawak,Lundu
2021-11-13,Sarawak,Kabong
2021-11-26,Sarawak,Sri Aman
2021-12-13,Sarawak,Sarikei
2021-12-24,Sarawak,Miri
2021-12-28,Sarawak,Pusa
2022-01-07,Sarawak,Pakan
2022-01-07,Sarawak,Sri Aman
2022-01-11,Sarawak,Kabong
2022-01-19,Sarawak,Matu
2022-01-22,Sarawak,Kabong
2022-01-22,Sarawak,Kapit
2022-01-24,Sarawak,Lubok Antu
2022-01-26,Sarawak,Kapit
2022-02-01,Sarawak,Limbang
2022-02-16,Sarawak,Belaga
2022-02-19,Sarawak,Kanowit
2022-02-21,Perak,Kinta
2022-02-27,Sarawak,Beluru
2021-09-02,Sarawak,Maradong
2021-09-08,Sarawak,Kabong
2021-09-11,Sarawak,Selangau
2021-09-12,Sarawak,Dalat
2021-09-13,Sarawak,Kuching
2021-09-21,Sarawak,Limbang
2021-09-23,Sarawak,Samarahan
2021-09-24,Sarawak,Serian
2021-09-29,Sarawak,Asajaya
2021-09-30,Sarawak,Sarikei
2021-10-16,Sarawak,Tanjung Manis
2021-10-27,Sarawak,Kanowit
2021-10-31,Perak,Kinta
2021-11-01,Sarawak,Bintulu
2021-11-05,Sarawak,Tatau
2021-11-09,Sarawak,Lundu
2021-11-11,Sarawak,Bau
2021-11-15,Sarawak,Pakan
2021-11-15,Sarawak,Samarahan
2021-11-19,Sarawak,Simunjan
2021-11-21,Sarawak,Pusa
2021-12-21,Sarawak,Bintulu
2021-12-23,Sarawak,Sibu
2021-12-28,Sarawak,Marudi
2021-12-31,Sarawak,Song
2022-01-03,Sarawak,Tanjung Manis
2022-01-07,Sarawak,Maradong
2022-01-09,Sarawak,Tanjung Manis
2022-02-06,Sarawak,Kapit
2022-02-11,Sarawak,Lundu
2022-02-16,Sarawak,Limbang
2022-02-18,Sarawak,Selangau
2022-02-20,Sarawak,Kuching
2021-09-02,Sarawak,Daro
2021-09-14,Sarawak,Asajaya
2021-09-14,Sarawak,Kabong
2021-09-23,Sarawak,Belaga
2021-09-24,Sarawak,Betong
2021-10-09,Sarawak,Kapit
2021-10-11,Sarawak,Serian
2021-11-02,Sarawak,Lundu
2021-11-12,Sarawak,Tebedu
2021-11-19,Sarawak,Serian
2021-11-21,Sarawak,Belaga
2021-11-28,Perak,Kinta
2021-12-01,Sarawak,Tatau
2021-12-28,Sarawak,Kuching
2022-01-02,Sarawak,Mukah
2022-01-02,Sarawak,Saratok
2022-01-05,Sarawak,Sarikei
2022-01-07,Sarawak,Belaga
2022-01-07,Sarawak,Mukah
2022-01-08,Sarawak,Pusa
2022-01-09,Sarawak,Sebauh
2022-01-16,Sarawak,Limbang
2022-02-06,Sarawak,Belaga
2022-02-14,Sarawak,Saratok
2022-02-15,Sarawak,Beluru
2022-02-17,Sarawak,Julau
2022-02-28,Sarawak,Marudi
2021-09-04,Sarawak,Matu
2021-09-12,Sarawak,Miri
2021-09-12,Sarawak,Pusa
2021-09-13,Sarawak,Lubok Antu
2021-09-13,Sarawak,Matu
2021-09-22,Sarawak,Mukah
2021-10-11,Sarawak,Belaga
2021-10-21,Sarawak,Saratok
2021-10-22,Sarawak,Saratok
2021-10-25,Sarawak,Bau
2021-10-25,Sarawak,Sibu
2021-11-04,Perak,Kinta
2021-11-05,Sarawak,Tanjung Manis
2021-11-09,Sarawak,Beluru
2021-11-09,Sarawak,Limbang
2021-11-15,Sarawak,Belaga
2021-11-27,Sarawak,Tebedu
2021-12-06,Sarawak,Dalat
2021-12-08,Sarawak,Dalat
2021-12-22,Sarawak,Bintulu
2021-12-27,Sarawak,Kapit
2021-12-29,Sarawak,Lubok Antu
2021-12-31,Sarawak,Matu
2022-01-06,Sarawak,Mukah
2022-01-11,Perak,Kinta
2022-01-18,Sarawak,Pakan
2022-01-22,Sarawak,Beluru
2022-02-04,Sarawak,Lawas
2022-02-11,Sarawak,Song
2022-02-20,Sarawak,Matu
2022-02-24,Sarawak,Maradong
2022-02-24,Sarawak,Pusa
2021-09-03,Sarawak,Sebauh
2021-09-11,Sarawak,Tanjung Manis
2021-09-13,Sarawak,Kanowit
2021-09-15,Sarawak,Sibu
2021-09-22,Sarawak,Pusa
2021-09-22,Sarawak,Tatau
2021-09-24,Sarawak,Marudi
