date,state,district
2021-10-11,Sarawak,Sebauh
2021-10-24,Sarawak,Serian
2021-10-26,Sarawak,Belaga
2021-10-26,Sarawak,Kapit
2021-10-29,Sarawak,Sebauh
2021-11-08,Sarawak,Lubok Antu
2021-11-11,Sarawak,Tatau
2021-11-17,Sarawak,Serian
2021-11-18,Sarawak,Marudi
2021-11-25,Sarawak,Tanjung Manis
2021-11-30,Sarawak,Belaga
2021-11-30,Sarawak,Lubok Antu
2021-11-30,Sarawak,Pusa
2021-12-12,Sarawak,Julau
2021-12-22,Sarawak,Mukah
2021-12-26,Sarawak,Serian
2021-12-28,Sarawak,Telang Usan
2021-12-30,Sarawak,Betong
2021-12-30,Sarawak,Bintulu
2022-01-06,Sarawak,Sibu
2022-01-07,Sarawak,Asajaya
2022-01-11,Sarawak,Mukah
2022-01-13,Sarawak,Saratok
2022-01-17,Sarawak,Sarikei
2022-01-25,Sarawak,Tanjung Manis
2022-01-26,Sarawak,Pakan
2022-01-27,Sarawak,Pakan
2022-01-28,Sarawak,Marudi
2022-02-02,Sarawak,Sarikei
2022-02-06,Sarawak,Tanjung Manis
2022-02-14,Sarawak,Kabong
2022-02-17,Sarawak,Kanowit
2022-02-19,Sarawak,Sri Aman
2022-02-21,Sarawak,Pakan
2022-02-25,Sarawak,Kanowit
2021-09-01,Sarawak,Sri Aman
2021-09-15,Sarawak,Telang Usan
2021-09-22,Sarawak,Maradong
2021-09-26,Sarawak,Maradong
2021-09-27,Sarawak,Simunjan
2021-10-09,Perak,Kinta
2021-10-14,Sarawak,Sarikei
2021-10-14,Sarawak,Simunjan
2021-10-16,Sarawak,Lubok Antu
2021-10-17,Sarawak,Sibu
2021-10-22,Sarawak,Samarahan
2021-10-23,Sarawak,Matu
2021-11-08,Sarawak,Maradong
2021-11-13,Sarawak,Kuching
2021-11-30,Sarawak,Marudi
2021-12-02,Sarawak,Simunjan
2021-12-22,Sarawak,Sebauh
2021-12-25,Sarawak,Sibu
2022-01-01,Sarawak,Kapit
2022-01-06,Sarawak,Belaga
2022-01-15,Sarawak,Bintulu
2022-01-22,Sarawak,Saratok
2022-01-24,Sarawak,Sri Aman
2022-02-01,Sarawak,Song
2022-02-10,Sarawak,Kanowit
2022-02-21,Sarawak,Daro
2022-02-22,Sarawak,Marudi
2021-09-02,Sarawak,Saratok
2021-09-05,Sarawak,Saratok
2021-09-06,Sarawak,Pakan
2021-09-08,Sarawak,Bintulu
2021-09-14,Sarawak,Matu
2021-09-16,Sarawak,Bau
2021-09-24,Sarawak,Song
2021-09-24,Sarawak,Subis
2021-09-27,Sarawak,Tanjung Manis
2021-09-29,Sarawak,Kapit
2021-10-29,Sarawak,Kuching
2021-11-04,Sarawak,Pakan
2021-11-05,Sarawak,Beluru
2021-11-06,Sarawak,Pakan
2021-11-08,Sarawak,Tebedu
2021-11-12,Sarawak,Pakan
2021-11-13,Sarawak,Sebauh
2021-11-14,Sarawak,Lubok Antu
2021-11-20,Sarawak,Simunjan
2021-11-23,Sarawak,Bau
2021-11-29,Sarawak,Sibu
2021-12-11,Sarawak,Selangau
2021-12-20,Sarawak,Kabong
2021-12-30,Sarawak,Limbang
2021-12-30,Sarawak,Tanjung Manis
2021-12-31,Sarawak,Kanowit
2022-01-04,Perak,Kinta
2022-01-11,Sarawak,Betong
2022-01-15,Sarawak,Julau
2022-01-20,Sarawak,Lawas
2022-02-10,Sarawak,Limbang
2022-02-10,Sarawak,Serian
2022-02-20,Sarawak,Bintulu
2021-09-11,Sarawak,Saratok
2021-09-21,Sarawak,Pusa
2021-09-23,Sarawak,Dalat
2021-09-28,Sarawak,Subis
2021-10-05,Sarawak,Sri Aman
2021-10-16,Sarawak,Sibu
2021-10-20,Sarawak,Kuching
2021-10-22,Sarawak,Simunjan
2021-10-24,Sarawak,Tebedu
2021-10-25,Perak,Kinta
2021-10-25,Sarawak,Matu
2021-11-10,Sarawak,Serian
2021-11-18,Sarawak,Daro
